timestamp;value
1638638798.466467;19
1638638798.4668531;28
1638638798.4672391;11
1638638798.4676251;9
1638638798.4680111;-8
1638638798.4683974;-13
1638638798.4687834;-29
1638638798.4691694;-21
1638638798.4695556;-14
1638638798.4699416;-17
1638638798.4703276;-27
1638638798.4707136;-20
1638638798.4710999;-24
1638638798.4714859;-12
1638638798.4718719;-17
1638638798.472109;-17
1638638798.47249;-21
1638638798.472871;-48
1638638798.473252;-38
1638638798.4736328;-42
1638638798.4740138;-28
1638638798.4743948;-30
1638638798.4747758;-17
1638638798.4751568;14
1638638798.4755378;15
1638638798.4759188;14
1638638798.4762998;39
1638638798.4766805;63
1638638798.4770615;87
1638638798.4774425;105
1638638798.4778235;141
1638638798.478057;182
1638638798.4784362;244
1638638798.4788158;246
1638638798.479195;210
1638638798.4795747;181
1638638798.479954;139
1638638798.4803336;98
1638638798.480713;42
1638638798.4810922;23
1638638798.4814718;2
1638638798.481851;0
1638638798.4822307;8
1638638798.48261;-13
1638638798.4829893;-8
1638638798.4833689;3
1638638798.4837482;-9
1638638798.48398;-23
1638638798.484748;-31
1638638798.4855158;-25
1638638798.486284;-21
1638638798.487052;-23
1638638798.48782;-25
1638638798.4885879;-20
1638638798.489356;-35
1638638798.490124;-38
1638638798.490892;-30
1638638798.4916599;0
1638638798.4924278;2
1638638798.493196;20
1638638798.493964;9
1638638798.494732;10
1638638798.4954998;-10
1638638798.495962;-7
1638638798.496336;61
1638638798.4967098;82
1638638798.497084;84
1638638798.497458;94
1638638798.497832;87
1638638798.498206;94
1638638798.49858;89
1638638798.498954;84
1638638798.499328;64
1638638798.499702;27
1638638798.500076;-31
1638638798.5004501;-89
1638638798.500824;-160
1638638798.501198;-168
1638638798.5015721;-148
1638638798.501818;-185
1638638798.5021956;-144
1638638798.502573;-106
1638638798.5029507;-51
1638638798.503328;-27
1638638798.5037057;-12
1638638798.5040832;-6
1638638798.5044608;-7
1638638798.5048382;-23
1638638798.505216;-26
1638638798.5055933;-1
1638638798.505971;21
1638638798.5063486;48
1638638798.506726;66
1638638798.5071037;106
1638638798.507481;139
1638638798.507715;118
1638638798.5080986;75
1638638798.5084825;54
1638638798.508866;36
1638638798.5092497;28
1638638798.5096333;20
1638638798.5100172;4
1638638798.5104008;-6
1638638798.5107844;-11
1638638798.5111682;-20
1638638798.5115519;-37
1638638798.5119355;-24
1638638798.512319;-23
1638638798.512703;-19
1638638798.5130866;-19
1638638798.5134702;-14
1638638798.51371;-11
1638638798.5140824;-16
1638638798.514455;-14
1638638798.5148275;-8
1638638798.5152001;-13
1638638798.5155725;0
1638638798.5159452;10
1638638798.5163176;18
1638638798.5166903;26
1638638798.5170627;20
1638638798.5174353;36
1638638798.5178077;25
1638638798.5181801;32
1638638798.5185528;46
1638638798.5189252;33
1638638798.5192978;37
1638638798.519532;33
1638638798.5199099;11
1638638798.5202878;3
1638638798.5206656;-4
1638638798.5210435;-14
1638638798.5214214;-31
1638638798.521799;-25
1638638798.522177;-19
1638638798.5225549;-19
1638638798.5229328;-16
1638638798.5233107;-5
1638638798.5236886;10
1638638798.5240664;15
1638638798.5244443;-3
1638638798.5248222;-4
1638638798.5252001;-4
1638638798.525433;-30
1638638798.525812;-15
1638638798.5261905;14
1638638798.5265694;40
1638638798.5269482;52
1638638798.5273268;52
1638638798.5277057;64
1638638798.5280845;62
1638638798.5284631;39
1638638798.528842;23
1638638798.5292206;-13
1638638798.5295994;-23
1638638798.5299783;-54
1638638798.530357;-68
1638638798.5307357;-78
1638638798.5311146;-92
1638638798.531343;-86
1638638798.5317216;-28
1638638798.5321002;-3
1638638798.5324788;0
1638638798.5328577;10
1638638798.5332363;29
1638638798.5336149;54
1638638798.5339935;97
1638638798.534372;153
1638638798.5347507;181
1638638798.5351293;181
1638638798.535508;171
1638638798.5358868;151
1638638798.5362654;109
1638638798.536644;59
1638638798.5370226;8
1638638798.537255;-19
1638638798.537643;-56
1638638798.538031;-59
1638638798.538419;-54
1638638798.538807;-40
1638638798.539195;-41
1638638798.539583;-22
1638638798.5399709;-23
1638638798.540359;-12
1638638798.540747;-6
1638638798.541135;-11
1638638798.541523;-20
1638638798.541911;-4
1638638798.542299;12
1638638798.542687;7
1638638798.5430748;1
1638638798.54333;-15
1638638798.5437155;-10
1638638798.5441008;-29
1638638798.5444863;-27
1638638798.5448716;-26
1638638798.545257;-23
1638638798.5456424;-22
1638638798.546028;-17
1638638798.5464134;-10
1638638798.5467987;-9
1638638798.5471842;8
1638638798.5475695;2
1638638798.547955;-3
1638638798.5483406;-7
1638638798.5487258;-19
1638638798.5491114;-15
1638638798.549374;-4
1638638798.5497472;19
1638638798.5501206;12
1638638798.5504937;12
1638638798.550867;26
1638638798.5512402;12
1638638798.5516136;11
1638638798.5519867;8
1638638798.5523598;-5
1638638798.5527332;-9
1638638798.5531063;0
1638638798.5534797;-16
1638638798.5538528;-8
1638638798.554226;3
1638638798.5545993;10
1638638798.5549724;18
1638638798.555207;7
1638638798.5555866;36
1638638798.5559661;17
1638638798.5563457;7
1638638798.5567253;-2
1638638798.5571048;-2
1638638798.5574844;-8
1638638798.557864;-8
1638638798.5582433;-6
1638638798.5586228;-14
1638638798.5590024;4
1638638798.559382;9
1638638798.5597615;7
1638638798.560141;0
1638638798.5605206;-5
1638638798.5609002;-3
1638638798.561147;-9
1638638798.5615246;-10
1638638798.5619025;-7
1638638798.5622802;-5
1638638798.562658;-8
1638638798.5630357;-16
1638638798.5634134;-20
1638638798.5637913;-13
1638638798.564169;-3
1638638798.5645466;2
1638638798.5649245;12
1638638798.5653021;18
1638638798.56568;36
1638638798.5660577;41
1638638798.5664353;63
1638638798.5668132;70
1638638798.567048;61
1638638798.5678196;67
1638638798.568591;62
1638638798.5693624;60
1638638798.570134;46
1638638798.5709054;39
1638638798.571677;34
1638638798.5724485;25
1638638798.5732198;11
1638638798.5739913;2
1638638798.5747628;-7
1638638798.5755343;-1
1638638798.5763059;0
1638638798.5770772;-4
1638638798.5778487;-10
1638638798.5786202;-22
1638638798.579052;-18
1638638798.5794263;5
1638638798.5798006;8
1638638798.580175;17
1638638798.5805492;-4
1638638798.5809236;-13
1638638798.5812979;-24
1638638798.5816722;-24
1638638798.5820465;-26
1638638798.5824208;-31
1638638798.5827951;-25
1638638798.5831695;-28
1638638798.5835438;-14
1638638798.583918;-10
1638638798.5842924;-9
1638638798.5846667;-4
1638638798.584924;-15
1638638798.585301;-5
